;genres;artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count
13119;['chicago rap', 'rap'];Kanye West;0.2206124401114207;0.6180111420612819;235493.61838440108;0.6429119777158783;0.0113251635097493;0.2562841225626741;-6.337130919220058;0.2325986072423399;115.1779052924792;0.4701295264623954;58.25626740947075;1;1;359
13546;['chicago rap', 'trap'];King;0.0992;0.708;201387.0;0.611;2.51e-05;0.0889;-9.889;0.0378;126.093;0.799;44.0;9;0;2
13566;['chicago drill', 'chicago rap', 'drill'];King Louie;0.0207;0.662;240039.0;0.718;0.0;0.335;-1.297;0.0463;137.142;0.172;49.0;0;1;2
12799;['chicago rap', 'melodic rap'];Juice WRLD;0.2062638695652174;0.6672771739130435;181859.0434782609;0.6120380434782612;0.0025992326086956;0.2228402173913045;-6.808032608695644;0.1648559782608695;132.53545652173906;0.4385695652173909;73.69565217391305;6;1;184
