;genres;artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count
0;['show tunes'];"""Cats"" 1981 Original London Cast";0.5901111111111111;0.4672222222222222;250318.5555555556;0.3940033333333333;0.0113998511111111;0.2908333333333333;-14.448;0.2103888888888888;117.51811111111112;0.3895;38.333333333333336;5;1;9
8;['comedy rock', 'comic', 'parody'];"""Weird Al"" Yankovic";0.1731450819672131;0.6627868852459013;218948.19672131148;0.6953934426229511;4.980262295081966e-05;0.1611016393442622;-9.768704918032787;0.0845360655737704;133.03118032786878;0.7513442622950824;34.22950819672131;9;1;122
9;['emo rap', 'florida rap', 'sad rap', 'underground hip hop', 'vapor trap'];$NOT;0.5444666666666668;0.7898;137910.46666666667;0.5329333333333333;0.0230625833333333;0.1803;-9.14926666666667;0.2936866666666666;112.34479999999998;0.4807;67.53333333333333;1;1;15
10;['dark trap', 'meme rap'];$atori Zoom;0.239;0.883;141519.0;0.625;0.0;0.0765;-4.098;0.245;126.677;0.871;67.0;6;1;2
12;['asian american hip hop', 'cali rap', 'west coast trap'];$tupid Young;0.1481;0.8540000000000001;190572.0;0.6829999999999999;2.075e-06;0.1885;-6.997000000000001;0.221;100.7245;0.6255000000000001;57.5;1;1;2
13;['dark trap', 'new orleans rap', 'underground hip hop'];$uicideBoy$;0.14148488;0.749344;146386.392;0.635552;0.0456750955199999;0.2022527999999999;-6.631303999999997;0.156108;115.02202400000009;0.2872856;61.8;1;1;125
14;['broadway', 'show tunes'];'In The Heights' Original Broadway Company;0.6247692307692306;0.5636153846153845;314023.6153846154;0.4576923076923078;8.692307692307694e-06;0.2043846153846154;-8.338461538461537;0.1524538461538461;117.00684615384613;0.4675384615384614;47.69230769230769;7;1;13
15;['broadway', 'hollywood', 'show tunes'];'Legally Blonde' Ensemble;0.5538888888888889;0.6484444444444446;304211.88888888893;0.4411111111111111;2.544444444444445e-05;0.2146666666666666;-11.45977777777778;0.4951111111111112;114.80844444444443;0.5247777777777778;48.66666666666666;2;1;9
16;['show tunes'];'Legally Blonde' Greek Chorus;0.6044999999999999;0.7735000000000001;361780.0;0.3095;0.0;0.2222;-12.669;0.289;105.7;0.5965;48.0;10;1;2
17;['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop'];'Til Tuesday;0.10555625;0.557125;255213.5;0.61225;0.0233002525;0.1275875;-9.638125;0.03215;103.08025000000002;0.532625;34.625;0;1;16
18;['experimental hip hop', 'indie r&b', 'indie soul'];((( O )));0.847;0.41;311837.0;0.1689999999999999;0.00327;0.117;-11.422;0.0485;89.494;0.208;67.0;3;1;2
20;['k-pop', 'k-pop girl group'];(G)I-DLE;0.011235;0.6405;196969.0;0.8;0.0;0.252;-4.4735;0.04875;151.01325;0.3750000000000001;79.25;1;0;4
21;['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock'];(Hed) P.E.;0.0116313999999999;0.5891999999999998;253677.4;0.8792;2.026e-06;0.17112;-5.2598;0.17214;134.9694;0.4270000000000001;45.8;2;1;10
22;['boy band', 'dance pop', 'europop', 'pop'];*NSYNC;0.1916107428571427;0.6087428571428571;236775.1523809524;0.6944285714285712;0.0027032102857142;0.2028599999999999;-6.273800000000001;0.0571380952380952;115.61588571428572;0.5647809523809525;45.371428571428574;0;1;105
24;['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore'];...And You Will Know Us by the Trail of Dead;0.0084099999999999;0.255;273624.0;0.858;0.000355;0.513;-5.085;0.0694;144.653;0.237;36.0;7;1;2
26;['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap'];03 Greedo;0.1226857142857143;0.6884285714285714;220377.7142857143;0.5868571428571429;5.714285714285714e-07;0.1481857142857143;-7.505285714285715;0.0587142857142857;87.36128571428574;0.3728571428571428;59.28571428571429;1;0;7
27;['alternative r&b', 'new jersey rap'];070 Shake;0.0114;0.696;398106.0;0.667;0.0;0.181;-7.665;0.0407;121.932;0.287;63.0;0;0;1
28;['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae'];10 Ft. Ganja Plant;0.0217;0.789;236253.0;0.7929999999999999;0.826;0.112;-6.629;0.107;149.368;0.743;50.0;4;0;2
29;['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock'];10 Years;0.1108588428571428;0.4084285714285714;209857.0;0.7488571428571428;0.0002331785714285;0.1529857142857143;-5.050857142857142;0.0448857142857142;150.52271428571433;0.3287142857142857;48.71428571428572;6;1;14
30;['alternative rock', 'dance rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock'];10,000 Maniacs;0.1908328571428572;0.5844761904761905;236012.61904761905;0.5420761904761905;0.0087604042857142;0.2297047619047619;-13.288047619047616;0.0378523809523809;118.4760952380952;0.5738095238095238;37.0;9;1;42
31;['glitchcore', 'hyperpop'];100 gecs;0.1584499999999999;0.61925;126605.25;0.59575;0.0;0.37175;-6.588000000000001;0.2125;114.87475;0.78125;68.0;6;1;4
32;['adult standards', 'ballroom', 'easy listening', 'lounge'];101 Strings Orchestra;0.588875;0.292525;173106.375;0.397;0.7145375;0.195375;-13.496375;0.037975;100.62312500000002;0.391525;27.0;0;1;16
