;genres;artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count
0;['show tunes'];"""Cats"" 1981 Original London Cast";0.5901111111111111;0.4672222222222222;250318.5555555556;0.3940033333333333;0.0113998511111111;0.2908333333333333;-14.448;0.2103888888888888;117.51811111111112;0.3895;38.333333333333336;5;1;9
8;['comedy rock', 'comic', 'parody'];"""Weird Al"" Yankovic";0.1731450819672131;0.6627868852459013;218948.19672131148;0.6953934426229511;4.980262295081966e-05;0.1611016393442622;-9.768704918032787;0.0845360655737704;133.03118032786878;0.7513442622950824;34.22950819672131;9;1;122
9;['emo rap', 'florida rap', 'sad rap', 'underground hip hop', 'vapor trap'];$NOT;0.5444666666666668;0.7898;137910.46666666667;0.5329333333333333;0.0230625833333333;0.1803;-9.14926666666667;0.2936866666666666;112.34479999999998;0.4807;67.53333333333333;1;1;15
10;['dark trap', 'meme rap'];$atori Zoom;0.239;0.883;141519.0;0.625;0.0;0.0765;-4.098;0.245;126.677;0.871;67.0;6;1;2
12;['asian american hip hop', 'cali rap', 'west coast trap'];$tupid Young;0.1481;0.8540000000000001;190572.0;0.6829999999999999;2.075e-06;0.1885;-6.997000000000001;0.221;100.7245;0.6255000000000001;57.5;1;1;2
13;['dark trap', 'new orleans rap', 'underground hip hop'];$uicideBoy$;0.14148488;0.749344;146386.392;0.635552;0.0456750955199999;0.2022527999999999;-6.631303999999997;0.156108;115.02202400000009;0.2872856;61.8;1;1;125
14;['broadway', 'show tunes'];'In The Heights' Original Broadway Company;0.6247692307692306;0.5636153846153845;314023.6153846154;0.4576923076923078;8.692307692307694e-06;0.2043846153846154;-8.338461538461537;0.1524538461538461;117.00684615384613;0.4675384615384614;47.69230769230769;7;1;13
15;['broadway', 'hollywood', 'show tunes'];'Legally Blonde' Ensemble;0.5538888888888889;0.6484444444444446;304211.88888888893;0.4411111111111111;2.544444444444445e-05;0.2146666666666666;-11.45977777777778;0.4951111111111112;114.80844444444443;0.5247777777777778;48.66666666666666;2;1;9
16;['show tunes'];'Legally Blonde' Greek Chorus;0.6044999999999999;0.7735000000000001;361780.0;0.3095;0.0;0.2222;-12.669;0.289;105.7;0.5965;48.0;10;1;2
17;['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop'];'Til Tuesday;0.10555625;0.557125;255213.5;0.61225;0.0233002525;0.1275875;-9.638125;0.03215;103.08025000000002;0.532625;34.625;0;1;16
